SUPPLIER NAME,EMS CODE,DGP ITEM,EMS ITEM,BUYER CODE,BUYER NAME,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,TTL,Life Cycle,Collabs,Project,Platform
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,6MMY7,AM911000312,G076,"He, Wei Tao",1204,1218,1236,1221,430,343,299,176,144,0,0,0,6271,MP,1,TETON MTL 2IN1 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,4MXWR,AM911000102,G076,"He, Wei Tao",5926,4532,4095,3856,954,749,639,371,304,0,3,0,21429,MP,1,TETON;TETON MTL 2IN1 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,JN3NG,AM911000302,G076,"He, Wei Tao",5617,4470,4047,3808,949,744,634,365,299,0,3,0,20936,MP,1,TETON MTL 2IN1 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,8972H,AM911000202,G076,"He, Wei Tao",1265,1253,1264,1249,430,345,299,177,147,0,0,0,6429,MP,1,TETON;TETON MTL 2IN1 14,Latitude
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,TMH2Y,AM3RY0004A4,G076,"He, Wei Tao",603,356,382,450,312,394,451,325,354,309,70,68,4074,MP,1,ORCHID BAY MLK2 MTL-H CS 14,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,3TVDF,AM3RY000494,G076,"He, Wei Tao",3362,1223,1376,1590,1126,1408,1623,1198,1301,1220,559,465,16451,MP,1,ORCHID BAY MLK2 MTL-H CS 14,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,XGX15,AM3RY000484,G076,"He, Wei Tao",6930,6201,6602,7822,5644,6749,7633,5398,5573,4370,1076,1035,65033,MP,1,ORCHID BAY MLK2 MTL-H CS 14,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,M7R6H,AM3RY000141,G076,"He, Wei Tao",11051,7782,8358,9858,7075,8545,9704,6914,7223,5893,2091,1857,86351,MP,1,ORCHID BAY MLK;ORCHID BAY MLK2 MTL-H CS 14,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,003D1,AM3RY000461,G076,"He, Wei Tao",103,4,4,2,0,0,0,0,0,0,0,0,113,LTB,1,RENEGADE;ORCHID BAY MLK,Precision
FOXCONN TECHNOLOGY  PTE LTD - MEC,000006,T04R8,AM3RY000471,G076,"He, Wei Tao",60,2,2,2,0,0,0,0,0,0,0,0,66,LTB,1,RENEGADE;ORCHID BAY MLK,Precision
